Language,Q4,Q24,Q23,Q18,Q5,Q11,Q8,Q17_1,Q17_2,Q17_3,Q17_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20
EN,USA,Female,31-40,1,5,Did Not Vote,0,5.4,5.5,5.8,6.1,5.9,6,5.7,6.1,6.3,6,6
EN,NA,Male,41-50,1,5,Did Not Vote,0,1,7,1,7,7,7,7,7,7,7,7
EN,USA,Female,18-24,1,3,Other,0,5.4,4.8,5.2,5,5.5,6.6,6.1,6,4.6,5.6,5.7
EN,USA,Male,18-24,1,1,Clinton,1,6.1,6,6.1,6.2,5.9,6,6,6.1,6.2,6.3,6
EN,Colombia,Female,18-24,1,3,Clinton,0,5.6,6.8,6.8,6.5,5.7,2.6,5.7,3.1,5.9,7,6.1
EN,USA,Male,31-40,1,5,Clinton,0,1,7,5.4,7,7,4.9,7,5.1,5.1,2.8,7
EN,USA,Male,31-40,1,5,Clinton,0,6.9,7,6.8,6.3,6.8,6.3,6.7,6,6.8,6.6,6.9
EN,USA,Male,18-24,1,3,Did Not Vote,0,5.9,5.1,5.7,3.7,4.2,5.4,5.5,5.6,3.7,4.9,5.1
EN,Puerto Rico,Female,31-40,0,5,Did Not Vote,0,2.1,2.4,2.2,5.3,NA,NA,NA,NA,NA,NA,3.9
EN,USA,Male,31-40,0,5,Clinton,0,1.1,1.2,7,7,NA,NA,NA,NA,NA,NA,7
EN,USA,Female,25-30,0,4,Clinton,0,3.8,7,6,3.6,NA,NA,NA,NA,NA,NA,4.9
EN,USA,Female,31-40,0,5,Did Not Vote,1,1,1,7,1,NA,NA,NA,NA,NA,NA,7
EN,USA,Female,31-40,1,5,Clinton,0,6.1,5.1,7,5.1,5,5.1,6.2,3.1,2.3,7,6.1
EN,USA,Female,51-60,0,5,Trump,1,1,1,5,5,NA,NA,NA,NA,NA,NA,2
EN,USA,Female,31-40,0,5,Other,1,1,1,4.9,4.2,NA,NA,NA,NA,NA,NA,5.4
EN,USA,Male,51-60,0,5,Trump,1,1,1,1,1,NA,NA,NA,NA,NA,NA,3
EN,USA,Male,18-24,0,3,Other,0,1.7,5.7,7,4.1,NA,NA,NA,NA,NA,NA,1
EN,Puerto Rico,Female,25-30,1,4,Did Not Vote,0,1,4.1,7,5.2,5.6,5.9,6,6.1,7,5.2,7
EN,USA,Female,25-30,1,4,Clinton,0,1.8,6.1,7,6.4,6.6,6.7,6.5,6.1,6.4,6.3,NA
EN,USA,Male,25-30,0,4,Did Not Vote,1,1,1,5.3,5.7,NA,NA,NA,NA,NA,NA,4.5
EN,USA,Female,31-40,1,5,Did Not Vote,0,5.8,5.4,6,5.6,5.9,6.4,5.7,6,6,6.1,6.9
EN,USA,Male,31-40,0,5,Did Not Vote,NA,1,1,4,3.9,NA,NA,NA,NA,NA,NA,7
EN,USA,Male,31-40,1,5,Other,0,1,5.1,7,7,1,1,7,5.3,7,7,7
EN,USA,Male,18-24,0,3,Other,1,4.7,4.7,4.8,4.5,NA,NA,NA,NA,NA,NA,4.9
EN,USA,Female,31-40,1,5,Did Not Vote,0,1,5.4,7,7,6,5.9,6.6,4.2,6.5,6.7,5.4
EN,USA,Male,41-50,1,5,Clinton,1,3.1,5.7,5.8,5.9,6,7,6.7,6.6,6.6,6.5,6.1
EN,USA,Female,18-24,0,5,Clinton,0,2.2,1.9,6.3,5.4,NA,NA,NA,NA,NA,NA,6.8
EN,USA,Male,31-40,1,4,Trump,0,1,7,7,7,7,6.7,7,1,7,7,5.5
EN,USA,Female,41-50,1,5,Did Not Vote,1,1,1,5,1,3,3,3,2.9,3.1,3,5
EN,USA,Female,31-40,0,5,Did Not Vote,1,1,1,6.2,6.1,NA,NA,NA,NA,NA,NA,5.2
EN,Chile,Female,31-40,1,4,Other,0,7,7,7,5.7,5.3,6.9,7,5.1,4.5,6.3,7
EN,NA,Male,31-40,1,5,Other,1,1,1,1,1,1,1,2.4,3.2,1,1.6,1.1
EN,Other,Male,51-60,0,5,Clinton,0,1,1,7,7,NA,NA,NA,NA,NA,NA,3.7
EN,USA,Female,18-24,0,3,Did Not Vote,0,4,4,6,5,NA,NA,NA,NA,NA,NA,5.1
EN,NA,Female,18-24,0,5,Clinton,0,1.1,1,7,7,NA,NA,NA,NA,NA,NA,7
EN,USA,Male,51-60,1,5,Trump,1,1,1,1.1,1,1,1,1,1,1,1,1
EN,Puerto Rico,Female,25-30,0,4,Other,0,1.2,1.4,5.3,5.5,NA,NA,NA,NA,NA,NA,6.3
EN,USA,Female,61+,1,5,Clinton,0,1,1.2,6.9,7,7,6,NA,6.9,NA,5.7,7
EN,Mexico,Female,25-30,0,1,Did Not Vote,0,1,7,7,7,NA,NA,NA,NA,NA,NA,7
EN,USA,Female,41-50,1,5,Did Not Vote,1,1,1,2.1,2.1,3.8,5.9,3.3,2.7,4.1,5,4.8
EN,USA,Male,25-30,1,4,Did Not Vote,0,1.7,2.8,2.9,2.9,3.2,5.1,3,4.9,5.8,5,4.9
EN,USA,Female,25-30,1,4,Clinton,0,1.5,5,6.5,7,4.5,7,6.3,7,7,7,7
EN,USA,Female,31-40,0,5,Clinton,0,1,1,3.1,2.3,NA,NA,NA,NA,NA,NA,4
EN,Puerto Rico,Male,51-60,1,5,Trump,1,1,1,3.3,1,3,6.1,3,6.2,6.4,2.9,1
EN,USA,Female,31-40,0,5,Clinton,1,1,1,4.8,5.9,NA,NA,NA,NA,NA,NA,5.2
EN,El Salvador,Male,25-30,1,1,Clinton,1,6.3,1,1,5.2,5.7,5.9,7,7,7,7,1.2
EN,USA,Female,51-60,0,5,Trump,1,5.6,6.3,5.2,6.4,NA,NA,NA,NA,NA,NA,5.6
EN,USA,Female,25-30,0,5,Other,0,1,1,7,7,NA,NA,NA,NA,NA,NA,5
ES,Puerto Rico,Male,51-60,1,5,Clinton,1,6.5,1,1,7,6.9,6.7,7,5.9,4.2,7,6.9
